text,context_class,relevance_level,primary_label,secondary_label,tertiary_label,source_page,matched_general_terms,matched_specific_terms,score,source,word_len,char_len,level_weight,length_quality,selection_score
"Other activities include mining , logging and trawling . Environmental factors can contribute to habitat destruction more indirectly. Geological processes, climate change , introduction of invasive species , ecosystem nutrient depletion , water and noise pollution are some examples. Loss of habitat can be preceded by an initial habitat fragmentation .",environment_climate,primary,ecology,,,Habitat,"climate, ecosystem, environment, pollution","ecosystem, habitat",14.0,wikipedia,51,353,3,6.0,45.647
Population level biodiversity (mostly in coldspots) are disappearing at a rate that is ten times that at the species level. The level of importance in addressing biomass versus endemism as a concern for conservation biology is highlighted in literature measuring the level of threat to global ecosystem carbon stocks that do not necessarily reside in areas of endemism.,environment_climate,primary,conservation,,,Conservation_biology,"biodiversity, carbon, conservation, ecosystem","biodiversity, conservation",14.0,wikipedia,58,369,3,6.0,45.631
"Sources of nutrient pollution include surface runoff from farms, waste from septic tanks and feedlots , and emissions from burning fuels. Raw sewage , which is rich in nutrients, also contributes to the issue when dumped in water bodies. Excess nitrogen causes environmental problems such as harmful algal blooms , hypoxia , acid rain , nitrogen saturation in forests, and climate change .",environment_climate,primary,pollution,,,Water_pollution,"climate, emissions, environment, pollution","pollution, waste",14.0,wikipedia,63,389,3,6.0,45.611
"As of 2019, carbon pricing covers about 20% of global greenhouse gas emissions. Carbon can be priced with carbon taxes and emissions trading systems . Direct global fossil fuel subsidies reached $319 billion in 2017, and $5.2 trillion when indirect costs such as air pollution are priced in. Ending these can cause a 28% reduction in global carbon emissions and a 46% reduction in air pollution deaths.",environment_climate,primary,climate_change,,,Climate_change,"carbon, emissions, greenhouse gas, pollution","carbon emissions, greenhouse gas",14.0,wikipedia,67,402,3,6.0,45.598
"Low-carbon energy improves human health by minimizing climate change as well as reducing air pollution deaths, which were estimated at 7 million annually in 2016. Meeting the Paris Agreement goals that limit warming to a 2 °C increase could save about a million of those lives per year by 2050, whereas limiting global warming to 1.5 °C could save millions and simultaneously increase energy security and reduce poverty.",environment_climate,primary,climate_change,,,Climate_change,"carbon, climate, pollution, warming","climate change, global warming",14.0,wikipedia,68,420,3,6.0,45.58
"This was the first study to focus on global drinking water pollution with plastics, and showed that with a contamination rate of 94%, tap water in the United States was the most polluted, followed by Lebanon and India . European countries such as the United Kingdom , Germany and France had the lowest contamination rate, though still as high as 72%.",environment_climate,primary,pollution,,,Plastic_pollution,pollution,"contamination, pollution, water pollution",13.8,wikipedia,61,350,3,6.0,45.25
"China, a megadiverse country , has begun implementing various protected areas in recent years. As of the year 2017, China has nearly 10,000 to 12,000 protected areas , 80% of which are nature reserves aiming to foster biodiversity conservation.",environment_climate,primary,conservation,,,Protected_area,"biodiversity, conservation","biodiversity, conservation, protected area",13.5,wikipedia,39,244,3,6.0,44.756
"Water pollution (or aquatic pollution ) is the contamination of water bodies , which has a negative impact on how they can be used. : 6 It is usually caused by human activities. Water bodies include lakes , rivers , oceans , aquifers , reservoirs and groundwater .",environment_climate,primary,pollution,,,Water_pollution,pollution,"contamination, pollution, water pollution",13.5,wikipedia,48,264,3,6.0,44.736
"The law authorizes the Environmental Protection Agency to regulate surface water pollution in the United States, in partnership with state agencies. Prior to 1972 it was legal to discharge wastewater to surface waters without testing for or removing water pollutants.",environment_climate,primary,pollution,,,Water_pollution,"environment, pollution","pollution, waste, water pollution",13.5,wikipedia,40,267,3,6.0,44.733
"Open dumps of waste are a common source of air pollution in low-income countries. They can be a source of toxins and can promote the growth of microbes that pollute water and air. Through open burning of waste —whether self-ignited or burned on purpose—soot, methane, and other pollutants are released.",environment_climate,primary,pollution,,,Air_pollution,pollution,"air pollution, pollution, waste",13.5,wikipedia,50,302,3,6.0,44.698
"In 2019, water pollution caused 1.4 million premature deaths. Contamination of drinking water by untreated sewage in developing countries is an issue, for example, over 732 million Indians (56% of the population) and over 92 million Ethiopians (92.9% of the population) do not have access to basic sanitation .",environment_climate,primary,pollution,,,Pollution,pollution,"contamination, pollution, water pollution",13.5,wikipedia,49,310,3,6.0,44.69
"For example, waste stabilization ponds can be a low cost treatment option for sewage. : 182 UV light (sunlight) can be used to degrade some pollutants in waste stabilization ponds (sewage lagoons). The use of safely managed sanitation services would prevent water pollution caused by lack of access to sanitation.",environment_climate,primary,pollution,,,Water_pollution,pollution,"pollution, waste, water pollution",13.5,wikipedia,50,313,3,6.0,44.687
"A growing number of countries regulate waste, through national or city-wide waste management systems, opening managed landfills , landfill gas capture (for electricity production), and waste separation . In agriculture, air pollution can be minimized by not overusing fertilizers and by not feeding excess protein to livestock.",environment_climate,primary,pollution,,,Air_pollution,pollution,"air pollution, pollution, waste",13.5,wikipedia,47,327,3,6.0,44.673
"The emergence of great factories and consumption of immense quantities of coal gave rise to unprecedented air pollution , and the large volume of industrial chemical discharges added to the growing load of untreated human waste. Chicago and Cincinnati were the first two American cities to enact laws ensuring cleaner air in 1881.",environment_climate,primary,pollution,,,Pollution,pollution,"air pollution, pollution, waste",13.5,wikipedia,53,330,3,6.0,44.67
"Water pollution (or aquatic pollution ) is the contamination of water bodies , which has a negative impact on how they can be used. : 6 It is usually caused by human activities. Water bodies include lakes , rivers , oceans , aquifers , reservoirs and groundwater . Water pollution results when contaminants mix with these water bodies.",environment_climate,primary,pollution,,,Water_pollution,pollution,"contamination, pollution, water pollution",13.5,wikipedia,58,335,3,6.0,44.665
"As of 2023, more than 2.3 billion people in developing countries rely on burning polluting fuels such as firewood , agricultural waste, dry dung , coal , or charcoal for cooking, which causes harmful household air pollution . Kerosene , another polluting fuel, is used in many countries for lighting and sometimes for space heating or cooking.",environment_climate,primary,pollution,,,Air_pollution,pollution,"air pollution, pollution, waste",13.5,wikipedia,57,343,3,6.0,44.657
"Outdoor air pollution comes from burning fossil fuels for electricity and transport , wildfires , some industrial processes, waste management, demolition and agriculture. Indoor air pollution is often from burning firewood or agricultural waste for cooking and heating. Other sources of air pollution include dust storms and volcanic eruptions .",environment_climate,primary,pollution,,,Air_pollution,pollution,"air pollution, pollution, waste",13.5,wikipedia,50,345,3,6.0,44.655
"The infrastructure may include wastewater treatment plants , for example sewage treatment plants and industrial wastewater treatment plants. Agricultural wastewater treatment for farms, and erosion control at construction sites can also help prevent water pollution. Effective control of urban runoff includes reducing speed and quantity of flow.",environment_climate,primary,pollution,,,Water_pollution,pollution,"pollution, waste, water pollution",13.5,wikipedia,47,346,3,6.0,44.654
"Although the management of plastic waste and its recycling is improving globally, the absolute amount of plastic pollution continues to increase unabated due to the large quantity of plastic in circulation. Even if sea plastic pollution were to stop entirely, microplastic contamination of the surface ocean would be projected to continue to increase.",environment_climate,primary,pollution,,,Water_pollution,pollution,"contamination, pollution, waste",13.5,wikipedia,53,351,3,6.0,44.649
"Control of water pollution requires appropriate infrastructure and management plans. The infrastructure may include wastewater treatment plants , for example sewage treatment plants and industrial wastewater treatment plants. Agricultural wastewater treatment for farms, and erosion control at construction sites can also help prevent water pollution.",environment_climate,primary,pollution,,,Water_pollution,pollution,"pollution, waste, water pollution",13.5,wikipedia,45,351,3,6.0,44.649
"The control of water pollution requires appropriate infrastructure and management plans, as well as legislation. Technology solutions can include improving sanitation , sewage treatment , industrial wastewater treatment , agricultural wastewater treatment , erosion control , sediment control and control of urban runoff (including stormwater management).",environment_climate,primary,pollution,,,Water_pollution,pollution,"pollution, waste, water pollution",13.5,wikipedia,46,355,3,6.0,44.645
"The underlying concept of an ecosystem can be traced back to 1864 in the published work of George Perkins Marsh (""Man and Nature""). Ecosystems may be habitats within biomes that form an integrated whole and a dynamically responsive system having both physical and biological complexes. Ecosystem ecology is the science of determining the fluxes of materials (e.g.",environment_climate,primary,ecology,,,Ecology,ecosystem,"ecology, ecosystem, habitat",13.5,wikipedia,57,363,3,6.0,44.637
"Open dumps of waste are a common source of air pollution in low-income countries. They can be a source of toxins and can promote the growth of microbes that pollute water and air. Through open burning of waste —whether self-ignited or burned on purpose—soot, methane, and other pollutants are released. Organic waste in landfills itself also produces methane as it decomposes.",environment_climate,primary,pollution,,,Air_pollution,pollution,"air pollution, pollution, waste",13.5,wikipedia,61,376,3,6.0,44.624
"Sources of water pollution are either point sources or non-point sources . Point sources have one identifiable cause, such as a storm drain , a wastewater treatment plant , or an oil spill . Pollution is the result of the cumulative effect over time. One would be toxic substances such as oil, metals, plastics, pesticides , persistent organic pollutants , and industrial waste products.",environment_climate,primary,pollution,,,Water_pollution,pollution,"pollution, waste, water pollution",13.5,wikipedia,64,387,3,6.0,44.613
"Groundwater pollution (also called groundwater contamination) occurs when pollutants are released to the ground and make their way into groundwater . This type of water pollution can also occur naturally due to the presence of a minor and unwanted constituent, contaminant, or impurity in the groundwater, in which case it is more likely referred to as contamination rather than pollution .",environment_climate,primary,pollution,,,Water_pollution,pollution,"contamination, pollution, water pollution",13.5,wikipedia,61,390,3,6.0,44.61
"The goal of the UNFCCC is to prevent dangerous human interference with the climate system. As stated in the convention, this requires that greenhouse gas concentrations are stabilized in the atmosphere at a level where ecosystems can adapt naturally to climate change, food production is not threatened, and economic development can be sustained.",environment_climate,primary,climate_change,,,Climate_change,"climate, ecosystem, greenhouse gas","climate change, greenhouse gas",13.3,wikipedia,53,346,3,6.0,44.254000000000005
"A fact is unknowable to a person if this person lacks access to the relevant information, like facts in the past that did not leave any significant traces. For example, it may be unknowable to people today what Caesar 's breakfast was the day he was assassinated but it was knowable to him and some contemporaries. Another factor restricting knowledge is given by the limitations of the human cognitive faculties. Some people may lack the cognitive ability to understand highly abstract mathematical truths and some facts cannot be known by any human because they are too complex for the human mind to conceive.",general_factual,primary,knowledge,,,Knowledge,"fact, information, known, truth","fact, information, knowledge, known, truth",21.5,wikipedia,103,611,3,1.0,52.889
"It often involves the possession of information learned through experience and can be understood as a cognitive success or an epistemic contact with reality, like making a discovery. Many academic definitions focus on propositional knowledge in the form of believing certain facts, as in ""I know that Dave is at home"". Other types of knowledge include knowledge-how in the form of practical competence , as in ""she knows how to swim"", and knowledge by acquaintance as a familiarity with the known object based on previous direct experience, like knowing someone personally.",general_factual,primary,knowledge,,,Knowledge,"fact, information, known, reality","fact, information, knowledge, known",19.0,wikipedia,91,573,3,1.0,47.927
"Knowledge is a form of familiarity, awareness , understanding , or acquaintance. It often involves the possession of information learned through experience and can be understood as a cognitive success or an epistemic contact with reality, like making a discovery. Many academic definitions focus on propositional knowledge in the form of believing certain facts, as in ""I know that Dave is at home"". Other types of knowledge include knowledge-how in the form of practical competence , as in ""she knows how to swim"", and knowledge by acquaintance as a familiarity with the known object based on previous direct experience, like knowing someone personally.",general_factual,primary,knowledge,,,Knowledge,"fact, information, known, reality","fact, information, knowledge, known",19.0,wikipedia,103,654,3,1.0,47.846
Some people may lack the cognitive ability to understand highly abstract mathematical truths and some facts cannot be known by any human because they are too complex for the human mind to conceive. A further limit of knowledge arises due to certain logical paradoxes .,general_factual,primary,knowledge,,,Knowledge,"fact, known, truth","fact, knowledge, known, truth",18.0,wikipedia,45,268,3,6.0,53.732
Another factor restricting knowledge is given by the limitations of the human cognitive faculties. Some people may lack the cognitive ability to understand highly abstract mathematical truths and some facts cannot be known by any human because they are too complex for the human mind to conceive.,general_factual,primary,knowledge,,,Knowledge,"fact, known, truth","fact, knowledge, known, truth",18.0,wikipedia,47,296,3,6.0,53.704
"Some people may lack the cognitive ability to understand highly abstract mathematical truths and some facts cannot be known by any human because they are too complex for the human mind to conceive. A further limit of knowledge arises due to certain logical paradoxes . For instance, there are some ideas that will never occur to anyone.",general_factual,primary,knowledge,,,Knowledge,"fact, known, truth","fact, knowledge, known, truth",18.0,wikipedia,57,336,3,6.0,53.664
Another factor restricting knowledge is given by the limitations of the human cognitive faculties. Some people may lack the cognitive ability to understand highly abstract mathematical truths and some facts cannot be known by any human because they are too complex for the human mind to conceive. A further limit of knowledge arises due to certain logical paradoxes .,general_factual,primary,knowledge,,,Knowledge,"fact, known, truth","fact, knowledge, known, truth",18.0,wikipedia,59,367,3,6.0,53.633
"The ignorance of the impermanent nature of things is seen as the factor responsible for this craving. The central goal of Buddhist practice is to stop suffering. This aim is to be achieved by understanding and practicing the teaching known as the Four Noble Truths and thereby overcoming ignorance. Knowledge plays a key role in the classical path of Hinduism known as jñāna yoga or ""path of knowledge"".",general_factual,primary,knowledge,,,Knowledge,"fact, known, truth","fact, knowledge, known, truth",18.0,wikipedia,68,403,3,6.0,53.597
"Another factor restricting knowledge is given by the limitations of the human cognitive faculties. Some people may lack the cognitive ability to understand highly abstract mathematical truths and some facts cannot be known by any human because they are too complex for the human mind to conceive. A further limit of knowledge arises due to certain logical paradoxes . For instance, there are some ideas that will never occur to anyone.",general_factual,primary,knowledge,,,Knowledge,"fact, known, truth","fact, knowledge, known, truth",18.0,wikipedia,71,435,3,4.0,50.565
"For example, it may be unknowable to people today what Caesar 's breakfast was the day he was assassinated but it was knowable to him and some contemporaries. Another factor restricting knowledge is given by the limitations of the human cognitive faculties. Some people may lack the cognitive ability to understand highly abstract mathematical truths and some facts cannot be known by any human because they are too complex for the human mind to conceive.",general_factual,primary,knowledge,,,Knowledge,"fact, known, truth","fact, knowledge, known, truth",18.0,wikipedia,75,455,3,4.0,50.545
"Some people may lack the cognitive ability to understand highly abstract mathematical truths and some facts cannot be known by any human because they are too complex for the human mind to conceive. A further limit of knowledge arises due to certain logical paradoxes . For instance, there are some ideas that will never occur to anyone. It is not possible to know them because if a person knew about such an idea then this idea would have occurred at least to them.",general_factual,primary,knowledge,,,Knowledge,"fact, known, truth","fact, knowledge, known, truth",18.0,wikipedia,83,465,3,4.0,50.535
"For example, it may be unknowable to people today what Caesar 's breakfast was the day he was assassinated but it was knowable to him and some contemporaries. Another factor restricting knowledge is given by the limitations of the human cognitive faculties. Some people may lack the cognitive ability to understand highly abstract mathematical truths and some facts cannot be known by any human because they are too complex for the human mind to conceive. A further limit of knowledge arises due to certain logical paradoxes .",general_factual,primary,knowledge,,,Knowledge,"fact, known, truth","fact, knowledge, known, truth",18.0,wikipedia,87,526,3,4.0,50.474
"Similarly, truth is a key element in journalism , where reporters seek information from reliable sources and fact-check claims to accurately inform the public. Media theorists discuss obstacles to this process, such as the spread of misinformation , misleadingly edited photographs , AI-generated images , political propaganda , and algorithmic biases on social media platforms.",general_factual,primary,knowledge,,,Truth,"claim, fact, information, report, truth","fact, information, truth",17.5,wikipedia,55,378,3,6.0,52.622
This is often explained in relation to the claim that humans suffer because they crave things that are impermanent . The ignorance of the impermanent nature of things is seen as the factor responsible for this craving. The central goal of Buddhist practice is to stop suffering. This aim is to be achieved by understanding and practicing the teaching known as the Four Noble Truths and thereby overcoming ignorance.,general_factual,primary,knowledge,,,Knowledge,"claim, fact, known, truth","fact, known, truth",16.5,wikipedia,69,415,3,6.0,50.585
"Justification and evidence separate warranted beliefs from superstition and lucky guesses but do not guarantee truth: even well-founded beliefs can be false in unfavorable circumstances. If a justified belief is true, it may amount to knowledge , which, unlike justification on its own, has truth as a core component. Epistemologists discuss various sources of knowledge or how people may arrive at truth, such as perception , introspection , memory , reason , and testimony. Verification and fact-checking are processes that aim to assess the truth value of a proposition.",general_factual,primary,knowledge,,,Truth,"evidence, fact, truth","fact, knowledge, truth",16.1,wikipedia,89,573,3,2.5,44.377
The ignorance of the impermanent nature of things is seen as the factor responsible for this craving. The central goal of Buddhist practice is to stop suffering. This aim is to be achieved by understanding and practicing the teaching known as the Four Noble Truths and thereby overcoming ignorance.,general_factual,primary,knowledge,,,Knowledge,"fact, known, truth","fact, known, truth",15.5,wikipedia,49,298,3,6.0,48.702
"It often involves the possession of information learned through experience and can be understood as a cognitive success or an epistemic contact with reality, like making a discovery. Many academic definitions focus on propositional knowledge in the form of believing certain facts, as in ""I know that Dave is at home"".",general_factual,primary,knowledge,,,Knowledge,"fact, information, reality","fact, information, knowledge",15.5,wikipedia,51,318,3,6.0,48.682
"Whereas digital signals and other data use discrete signs to convey information, other phenomena and artifacts such as analogue signals , poems , pictures , music or other sounds , and currents convey information in a more continuous form. Information is not knowledge itself, but the meaning that may be derived from a representation through interpretation.",general_factual,primary,knowledge,,,Information,"data, fact, information","fact, information, knowledge",15.5,wikipedia,56,358,3,6.0,48.642
"Epistemologists discuss various sources of knowledge or how people may arrive at truth, such as perception , introspection , memory , reason , and testimony. Verification and fact-checking are processes that aim to assess the truth value of a proposition. They may rely on criteria of truth , which are standards by which one can recognize that a claim is true.",general_factual,primary,knowledge,,,Truth,"claim, fact, truth","fact, knowledge, truth",15.5,wikipedia,61,361,3,6.0,48.639
"This aim is to be achieved by understanding and practicing the teaching known as the Four Noble Truths and thereby overcoming ignorance. Knowledge plays a key role in the classical path of Hinduism known as jñāna yoga or ""path of knowledge"". It aims to achieve oneness with the divine by fostering an understanding of the self and its relation to Brahman or ultimate reality.",general_factual,primary,knowledge,,,Knowledge,"known, reality, truth","knowledge, known, truth",15.5,wikipedia,64,375,3,6.0,48.625
"Knowledge is a form of familiarity, awareness , understanding , or acquaintance. It often involves the possession of information learned through experience and can be understood as a cognitive success or an epistemic contact with reality, like making a discovery. Many academic definitions focus on propositional knowledge in the form of believing certain facts, as in ""I know that Dave is at home"".",general_factual,primary,knowledge,,,Knowledge,"fact, information, reality","fact, information, knowledge",15.5,wikipedia,63,399,3,6.0,48.601
"The central goal of Buddhist practice is to stop suffering. This aim is to be achieved by understanding and practicing the teaching known as the Four Noble Truths and thereby overcoming ignorance. Knowledge plays a key role in the classical path of Hinduism known as jñāna yoga or ""path of knowledge"". It aims to achieve oneness with the divine by fostering an understanding of the self and its relation to Brahman or ultimate reality.",general_factual,primary,knowledge,,,Knowledge,"known, reality, truth","knowledge, known, truth",15.5,wikipedia,74,435,3,4.0,45.565
"In philosophy , the concept fact is most commonly considered in the branch of philosophy concerned with knowledge and truth, called epistemology , and possibly also under the branch called ontology , which studies concepts such as existence , being , becoming , and reality . Questions of objectivity and truth are closely associated with questions of fact. A fact can be defined as something that is the case, in other words, a state of affairs .",general_factual,primary,knowledge,,,Fact,"fact, reality, truth","fact, knowledge, truth",15.5,wikipedia,77,447,3,4.0,45.553
"If a justified belief is true, it may amount to knowledge , which, unlike justification on its own, has truth as a core component. Epistemologists discuss various sources of knowledge or how people may arrive at truth, such as perception , introspection , memory , reason , and testimony. Verification and fact-checking are processes that aim to assess the truth value of a proposition. They may rely on criteria of truth , which are standards by which one can recognize that a claim is true.",general_factual,primary,knowledge,,,Truth,"claim, fact, truth","fact, knowledge, truth",15.5,wikipedia,85,492,3,4.0,45.508
"Any natural process that is not completely random and any observable pattern in any medium can be said to convey some amount of information. Whereas digital signals and other data use discrete signs to convey information, other phenomena and artifacts such as analogue signals , poems , pictures , music or other sounds , and currents convey information in a more continuous form. Information is not knowledge itself, but the meaning that may be derived from a representation through interpretation.",general_factual,primary,knowledge,,,Information,"data, fact, information","fact, information, knowledge",15.5,wikipedia,80,499,3,4.0,45.501
"Some limits of knowledge only apply to particular people in specific situations while others pertain to humanity at large. A fact is unknowable to a person if this person lacks access to the relevant information, like facts in the past that did not leave any significant traces.",general_factual,primary,knowledge,,,Knowledge,"fact, information","fact, information, knowledge",14.5,wikipedia,47,278,3,6.0,46.722
"To know something a posteriori means to know it based on experience. For example, by seeing that it rains outside or hearing that the baby is crying, one acquires a posteriori knowledge of these facts. A priori knowledge is possible without any experience to justify or support the known proposition.",general_factual,primary,knowledge,,,Knowledge,"fact, known","fact, knowledge, known",14.5,wikipedia,50,300,3,6.0,46.7
"The central goal of Buddhist practice is to stop suffering. This aim is to be achieved by understanding and practicing the teaching known as the Four Noble Truths and thereby overcoming ignorance. Knowledge plays a key role in the classical path of Hinduism known as jñāna yoga or ""path of knowledge"".",general_factual,primary,knowledge,,,Knowledge,"known, truth","knowledge, known, truth",14.5,wikipedia,51,301,3,6.0,46.699
"The difference between a posteriori and a priori truths rests on the source of knowledge. A posteriori truths require sensory experience, such as observing that water boils at 100°C at standard atmospheric pressure . A priori truths can be known through pure reasoning, such as a proof of a mathematical theorem.",general_factual,primary,knowledge,,,Truth,"known, truth","knowledge, known, truth",14.5,wikipedia,51,312,3,6.0,46.688
"For example, by eating chocolate, one becomes acquainted with the taste of chocolate, and visiting Lake Taupō leads to the formation of knowledge by acquaintance of Lake Taupō. In these cases, the person forms non-inferential knowledge based on first-hand experience without necessarily acquiring factual information about the object.",general_factual,primary,knowledge,,,Knowledge,"fact, information","fact, information, knowledge",14.5,wikipedia,48,334,3,6.0,46.666
"For instance, the assertion ""spiders have more than two legs"" is less truthlike than the assertion ""spiders have eight legs"" because it is less precise. ^ This separates them from identity theorists, who argue that truths are identical to facts. ^ The coherence theory of truth is similar to the coherence theory of knowledge but not identical.",general_factual,primary,knowledge,,,Truth,"fact, truth","fact, knowledge, truth",14.5,wikipedia,57,344,3,6.0,46.656
"Knowledge based on perception, introspection, and memory may give rise to inferential knowledge, which comes about when reasoning is applied to draw inferences from other known facts. For example, the perceptual knowledge of a Czech stamp on a postcard may give rise to the inferential knowledge that one's friend is visiting the Czech Republic.",general_factual,primary,knowledge,,,Knowledge,"fact, known","fact, knowledge, known",14.5,wikipedia,54,345,3,6.0,46.655
"They use linguistic devices like individual terms, predicates , and quantifiers . For rule-based systems, each unit of information is expressed using a conditional production rule of the form ""if A then B"". Semantic nets model knowledge as a graph consisting of vertices to represent facts or concepts and edges to represent the relations between them.",general_factual,primary,knowledge,,,Knowledge,"fact, information","fact, information, knowledge",14.5,wikipedia,56,352,3,6.0,46.648
"They purport to present concrete cases of justified true beliefs that fail to constitute knowledge. The reason for their failure is usually a form of epistemic luck: the beliefs are justified but their justification is not relevant to the truth. In a well-known example, someone drives along a country road with many barn facades and only one real barn.",general_factual,primary,knowledge,,,Knowledge,"known, truth","knowledge, known, truth",14.5,wikipedia,59,353,3,6.0,46.647
"For rule-based systems, each unit of information is expressed using a conditional production rule of the form ""if A then B"". Semantic nets model knowledge as a graph consisting of vertices to represent facts or concepts and edges to represent the relations between them. Frames provide complex taxonomies to group items into classes, subclasses, and instances.",general_factual,primary,knowledge,,,Knowledge,"fact, information","fact, information, knowledge",14.5,wikipedia,56,360,3,6.0,46.64
"In these cases, the person forms non-inferential knowledge based on first-hand experience without necessarily acquiring factual information about the object. By contrast, it is also possible to indirectly learn a lot of propositional knowledge about chocolate or Lake Taupō by reading books without having the direct experiential contact required for knowledge by acquaintance.",general_factual,primary,knowledge,,,Knowledge,"fact, information","fact, information, knowledge",14.5,wikipedia,53,377,3,6.0,46.623
"A priori knowledge is possible without any experience to justify or support the known proposition. Mathematical knowledge, such as that 2 + 2 = 4, is traditionally taken to be a priori knowledge since no empirical investigation is necessary to confirm this fact. In this regard, a posteriori knowledge is empirical knowledge while a priori knowledge is non-empirical knowledge.",general_factual,primary,knowledge,,,Knowledge,"fact, known","fact, knowledge, known",14.5,wikipedia,59,377,3,6.0,46.623
"If a justified belief is true, it may amount to knowledge , which, unlike justification on its own, has truth as a core component. Epistemologists discuss various sources of knowledge or how people may arrive at truth, such as perception , introspection , memory , reason , and testimony. Verification and fact-checking are processes that aim to assess the truth value of a proposition.",general_factual,primary,knowledge,,,Truth,"fact, truth","fact, knowledge, truth",14.5,wikipedia,64,386,3,6.0,46.614
"For some types, it is controversial whether they exist in a strict sense. The difference between a posteriori and a priori truths rests on the source of knowledge. A posteriori truths require sensory experience, such as observing that water boils at 100°C at standard atmospheric pressure . A priori truths can be known through pure reasoning, such as a proof of a mathematical theorem.",general_factual,primary,knowledge,,,Truth,"known, truth","knowledge, known, truth",14.5,wikipedia,64,386,3,6.0,46.614
"Many academic definitions focus on propositional knowledge in the form of believing certain facts, as in ""I know that Dave is at home"". Other types of knowledge include knowledge-how in the form of practical competence , as in ""she knows how to swim"", and knowledge by acquaintance as a familiarity with the known object based on previous direct experience, like knowing someone personally.",general_factual,primary,knowledge,,,Knowledge,"fact, known","fact, knowledge, known",14.5,wikipedia,63,390,3,6.0,46.61
"The main focus in anthropology is on empirical observations of how people ascribe truth values to meaning contents, like when affirming an assertion, even if these contents are false. This also includes practical components: knowledge is what is employed when interpreting and acting on the world and involves diverse phenomena, such as feelings, embodied skills, information, and concepts.",general_factual,primary,knowledge,,,Knowledge,"information, truth","information, knowledge, truth",14.5,wikipedia,58,390,3,6.0,46.61
"For example, by seeing that it rains outside or hearing that the baby is crying, one acquires a posteriori knowledge of these facts. A priori knowledge is possible without any experience to justify or support the known proposition. Mathematical knowledge, such as that 2 + 2 = 4, is traditionally taken to be a priori knowledge since no empirical investigation is necessary to confirm this fact.",general_factual,primary,knowledge,,,Knowledge,"fact, known","fact, knowledge, known",14.5,wikipedia,66,395,3,6.0,46.605
"The object of knowledge can be a person, a thing, or a place. For example, by eating chocolate, one becomes acquainted with the taste of chocolate, and visiting Lake Taupō leads to the formation of knowledge by acquaintance of Lake Taupō. In these cases, the person forms non-inferential knowledge based on first-hand experience without necessarily acquiring factual information about the object.",general_factual,primary,knowledge,,,Knowledge,"fact, information","fact, information, knowledge",14.5,wikipedia,61,396,3,6.0,46.604
"^ Truthlikeness can also be used to compare true assertions. For instance, the assertion ""spiders have more than two legs"" is less truthlike than the assertion ""spiders have eight legs"" because it is less precise. ^ This separates them from identity theorists, who argue that truths are identical to facts. ^ The coherence theory of truth is similar to the coherence theory of knowledge but not identical.",general_factual,primary,knowledge,,,Truth,"fact, truth","fact, knowledge, truth",14.5,wikipedia,67,405,3,6.0,46.595
"The difference between a posteriori and a priori truths rests on the source of knowledge. A posteriori truths require sensory experience, such as observing that water boils at 100°C at standard atmospheric pressure . A priori truths can be known through pure reasoning, such as a proof of a mathematical theorem. A related distinction is between synthetic and analytic truths, based on the source of the truth.",general_factual,primary,knowledge,,,Truth,"known, truth","knowledge, known, truth",14.5,wikipedia,67,410,3,6.0,46.59
"A fact is unknowable to a person if this person lacks access to the relevant information, like facts in the past that did not leave any significant traces. For example, it may be unknowable to people today what Caesar 's breakfast was the day he was assassinated but it was knowable to him and some contemporaries. Another factor restricting knowledge is given by the limitations of the human cognitive faculties.",general_factual,primary,knowledge,,,Knowledge,"fact, information","fact, information, knowledge",14.5,wikipedia,70,413,3,6.0,46.587
"For instance, the assertion ""spiders have more than two legs"" is less truthlike than the assertion ""spiders have eight legs"" because it is less precise. ^ This separates them from identity theorists, who argue that truths are identical to facts. ^ The coherence theory of truth is similar to the coherence theory of knowledge but not identical. ^ Historically, coherentism is often linked to metaphysical idealism .",general_factual,primary,knowledge,,,Truth,"fact, truth","fact, knowledge, truth",14.5,wikipedia,67,415,3,6.0,46.585
"Knowledge based on perception, introspection, and memory may give rise to inferential knowledge, which comes about when reasoning is applied to draw inferences from other known facts. For example, the perceptual knowledge of a Czech stamp on a postcard may give rise to the inferential knowledge that one's friend is visiting the Czech Republic. This type of knowledge depends on other sources of knowledge responsible for the premises.",general_factual,primary,knowledge,,,Knowledge,"fact, known","fact, knowledge, known",14.5,wikipedia,68,436,3,5.0,45.064
"Logic-based systems rely on formal languages employed in logic to represent knowledge. They use linguistic devices like individual terms, predicates , and quantifiers . For rule-based systems, each unit of information is expressed using a conditional production rule of the form ""if A then B"". Semantic nets model knowledge as a graph consisting of vertices to represent facts or concepts and edges to represent the relations between them.",general_factual,primary,knowledge,,,Knowledge,"fact, information","fact, information, knowledge",14.5,wikipedia,68,439,3,5.0,45.061
"They use linguistic devices like individual terms, predicates , and quantifiers . For rule-based systems, each unit of information is expressed using a conditional production rule of the form ""if A then B"". Semantic nets model knowledge as a graph consisting of vertices to represent facts or concepts and edges to represent the relations between them. Frames provide complex taxonomies to group items into classes, subclasses, and instances.",general_factual,primary,knowledge,,,Knowledge,"fact, information","fact, information, knowledge",14.5,wikipedia,68,442,3,5.0,45.058
